key,en
"
Stand at the hatch with someone in front of you and try again.","
Stand at the hatch with someone in front of you and try again."
    %s,    %s
    Fewer people will bother coming tomorrow — about %d%% down.,    Fewer people will bother coming tomorrow — about %d%% down.
"    Leave blank to use your Steam name, or your computer's account name.","    Leave blank to use your Steam name, or your computer's account name."
  · %s,  · %s
%d   +%d heat,%d   +%d heat
%d   -%d,%d   -%d
"%d a unit · they go for %d–%d, depending who's asking","%d a unit · they go for %d–%d, depending who's asking"
%d fps,%d fps
%d item on the counter. Scan it.,%d item on the counter. Scan it.
%d left.,%d left.
%d of %d,%d of %d
%d of them. Shutter's down.,%d of them. Shutter's down.
%d reading.,%d reading.
%d still moving.,%d still moving.
%d still to scan.,%d still to scan.
%d under the counter,%d under the counter
%d units,%d units
%d waiting.,%d waiting.
%d%%,%d%%
"%d. It's on the card as well, you know.","%d. It's on the card as well, you know."
%d. Why?,%d. Why?
%s  (%s),%s  (%s)
%s  (age %d),%s  (age %d)
%s  (registered %s),%s  (registered %s)
%s  ×6,%s  ×6
%s %s,%s %s
"%s %s — admitted, St Cuthbert's Ward 9","%s %s — admitted, St Cuthbert's Ward 9"
"%s %s — same address, not named on any account there","%s %s — same address, not named on any account there"
%s ammunition  ×%d,%s ammunition  ×%d
%s couldn't get round the shop and left.,%s couldn't get round the shop and left.
%s found nothing worth buying.,%s found nothing worth buying.
%s got tired of waiting.,%s got tired of waiting.
%s in your hands.,%s in your hands.
%s put their basket down and walked out.,%s put their basket down and walked out.
%s saw it. They're gone.,%s saw it. They're gone.
%s stepped in front of %s.,%s stepped in front of %s.
%s way. Fifteen minutes on foot.,%s way. Fifteen minutes on foot.
%s — %d,%s — %d
%s — empty  [Q] restock,%s — empty  [Q] restock
%s — fitted,%s — fitted
%s — leaving,%s — leaving
%s — owned,%s — owned
%s — shopping,%s — shopping
"%s, I think. I never look at it.","%s, I think. I never look at it."
%s. %s.,%s. %s.
%s. Been there years.,%s. Been there years.
%s. It's on the card.,%s. It's on the card.
%s. It's round the corner.,%s. It's round the corner.
%s. Not that you'll ever ring it.,%s. Not that you'll ever ring it.
%s. Over at %s.,%s. Over at %s.
%s. Ring it if you like.,%s. Ring it if you like.
%s. Same crowd eleven years.,%s. Same crowd eleven years.
%s. Two minutes that way.,%s. Two minutes that way.
"%s. Why, do you know it?","%s. Why, do you know it?"
%s. Why?,%s. Why?
'Scuse me.,'Scuse me.
(Screenshot failed to save.),(Screenshot failed to save.)
-%d,-%d
...Does it matter? I just want to pay and go.,...Does it matter? I just want to pay and go.
...What is that. What is that on the floor.,...What is that. What is that on the floor.
...You're joking. I come in here every night.,...You're joking. I come in here every night.
...and the other thing. If you've got it.,...and the other thing. If you've got it.
.38 Revolver,.38 Revolver
